Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-03,2016,2,3,Wednesday,05,2016-05,86.56,86.76,84.46,86.47,5253600,83.17,0.006283794561558809,83.60785714285714,85.36136363636363
2016-02-04,2016,2,4,Thursday,05,2016-05,86.24,86.87,85.74,86.33,4490600,83.03,-0.0016192746893294307,83.30642857142857,85.26
2016-02-05,2016,2,5,Friday,05,2016-05,86.04,86.32,82.18,82.76,8474000,79.6,-0.04135287050840608,82.89785714285713,85.02416666666666
2016-02-08,2016,2,8,Monday,06,2016-06,81.44,81.74,79.87,80.65,9213800,77.57,-0.02549528152693359,82.515,84.726
2016-02-09,2016,2,9,Tuesday,06,2016-06,78.87,83.23,78.52,81.97,7802700,78.84,0.016366926003908988,82.29785714285715,84.49961538461538
2016-02-10,2016,2,10,Wednesday,06,2016-06,83.06,84.84,82.93,83.31,4858900,80.13,0.0163474153816201,82.10499999999999,84.33777777777777
2016-02-11,2016,2,11,Thursday,06,2016-06,80.15,82.79,79.98,82.11,6285400,78.98,-0.014404066421157435,81.70071428571428,84.14642857142857
2016-02-12,2016,2,12,Friday,06,2016-06,83.62,85.27,83.31,84.89,5213300,81.65,0.03385707309509778,81.57142857142857,84.0603448275862
2016-02-16,2016,2,16,Tuesday,07,2016-07,86.12,86.59,85.36,86.18,4908000,82.89,0.015196336904539365,81.515,84.02133333333333
2016-02-17,2016,2,17,Wednesday,07,2016-07,86.93,87.6,86.59,87.21,4143400,83.88,0.011951639717107332,81.67999999999999,84.01677419354839
2016-02-18,2016,2,18,Thursday,07,2016-07,86.58,87.45,85.83,86.04,3551500,82.76,-0.013415928810743716,81.85928571428572,83.9775
2016-02-19,2016,2,19,Friday,07,2016-07,85.65,86.86,85.22,86.79,3490500,83.48,0.008716814571299025,81.70571428571428,83.96242424242425
2016-02-22,2016,2,22,Monday,08,2016-08,86.79,88.23,86.79,87.82,3010800,84.47,0.011867823093651086,81.64999999999999,83.97735294117648
2016-02-23,2016,2,23,Tuesday,08,2016-08,87.26,87.85,85.93,86.21,4236900,82.92,-0.018333142149526194,81.66928571428572,83.94714285714286
2016-02-24,2016,2,24,Wednesday,08,2016-08,85.14,86.76,84.59,86.42,3361300,83.12,0.0024359618074312195,81.66571428571429,83.92416666666666
2016-02-25,2016,2,25,Thursday,08,2016-08,86.55,87.43,85.52,87.42,3280500,84.08,0.011571498958409032,81.74071428571428,83.92837837837837
2016-02-26,2016,2,26,Friday,08,2016-08,88.11,88.59,87.49,87.57,3294900,84.23,0.0017158242916077704,82.07142857142857,83.93631578947368
2016-02-29,2016,2,29,Monday,09,2016-09,87.3,88.83,86.9,86.92,4302900,83.6,-0.007422744435342077,82.50214285714286,83.9276923076923
2016-03-01,2016,3,1,Tuesday,09,2016-09,87.77,90.13,87.72,90.1,4967500,86.66,0.03658545711197014,83.06071428571428,83.99600000000001
2016-03-02,2016,3,2,Wednesday,09,2016-09,89.76,90.09,88.99,89.89,3898300,86.46,-0.0023306146790428306,83.51285714285713,84.05609756097562
2016-03-03,2016,3,3,Thursday,09,2016-09,89.73,90.14,88.92,89.74,4202500,86.31,-0.0016686766970225309,84.03642857142859,84.10976190476191
2016-03-04,2016,3,4,Friday,09,2016-09,90.0,90.56,89.5,90.05,3181300,86.61,0.003454480575861174,84.39071428571428,84.16790697674418
2016-03-07,2016,3,7,Monday,10,2016-10,89.69,89.75,87.44,88.3,4939800,84.93,-0.01943386063252117,84.53642857142857,84.18522727272727
2016-03-08,2016,3,8,Tuesday,10,2016-10,87.46,87.76,86.81,86.85,4251700,83.53,-0.016421032849611605,84.51142857142858,84.17066666666666
2016-03-09,2016,3,9,Wednesday,10,2016-10,87.21,87.6,86.7,87.18,3477800,83.85,0.0037994042424549512,84.58928571428571,84.16369565217391
2016-03-10,2016,3,10,Thursday,10,2016-10,87.66,88.2,85.93,86.89,3239100,83.57,-0.003326271292462657,84.59571428571428,84.15106382978723
2016-03-11,2016,3,11,Friday,10,2016-10,87.91,89.16,87.78,88.58,4003200,85.2,0.01944947324419366,84.64785714285713,84.17291666666667
2016-03-14,2016,3,14,Monday,11,2016-11,88.53,89.13,88.02,88.87,4407400,85.48,0.0032742378357148993,84.83071428571428,84.19959183673468
2016-03-15,2016,3,15,Tuesday,11,2016-11,88.36,89.7,88.2,89.36,4468800,85.95,0.0055135145459870305,85.03285714285714,84.23459999999999
2016-03-16,2016,3,16,Wednesday,11,2016-11,89.22,90.32,89.02,90.01,3005000,86.57,0.007274057155842506,85.21071428571429,84.1458
2016-03-17,2016,3,17,Thursday,11,2016-11,89.92,91.66,89.66,91.41,4568900,87.92,0.015553611508336562,85.47428571428573,84.08060000000002
2016-03-18,2016,3,18,Friday,11,2016-11,92.01,92.44,91.45,92.31,5972900,88.79,0.009845925292141455,85.845,84.0606
2016-03-21,2016,3,21,Monday,12,2016-12,91.86,92.63,91.56,92.35,3176900,88.82,0.00043342943998148087,85.99928571428572,84.0742
2016-03-22,2016,3,22,Tuesday,12,2016-12,91.68,92.21,91.54,91.76,3541300,88.26,-0.006388682532209922,86.12785714285714,84.1102
2016-03-23,2016,3,23,Wednesday,12,2016-12,91.88,92.65,91.64,92.13,2816100,88.61,0.004032042301217897,86.29214285714286,84.14
2016-03-24,2016,3,24,Thursday,12,2016-12,91.3,91.97,91.3,91.91,2618700,88.4,-0.002387744661389357,86.42,84.14900000000002
2016-03-28,2016,3,28,Monday,13,2016-13,92.18,92.3,91.18,91.24,2304300,87.76,-0.007289898250564253,86.62214285714286,84.1884
2016-03-29,2016,3,29,Tuesday,13,2016-13,91.22,93.04,91.1,92.78,3326300,89.24,0.016878815738283537,87.03,84.22820000000002
2016-03-30,2016,3,30,Wednesday,13,2016-13,93.55,94.17,93.3,93.81,3477900,90.23,0.011101360950984906,87.48571428571428,84.32639999999999
2016-03-31,2016,3,31,Thursday,13,2016-13,93.68,94.94,93.52,94.5,5647100,90.89,0.007355247184654301,88.00857142857144,84.48560000000002
2016-04-01,2016,4,1,Friday,13,2016-13,93.65,96.11,93.5,95.87,5276900,92.21,0.014497406725641815,88.50928571428572,84.69220000000001
2016-04-04,2016,4,4,Monday,14,2016-14,96.01,96.1,94.46,95.05,4449900,91.42,-0.008553208301185888,88.93357142857144,84.86400000000002
2016-04-05,2016,4,5,Tuesday,14,2016-14,94.1,95.41,93.89,94.35,5378300,90.75,-0.007364692653641924,89.27642857142857,84.98620000000001
2016-04-06,2016,4,6,Wednesday,14,2016-14,94.2,94.84,93.84,94.75,3334200,91.32,0.006266037215714393,89.61571428571429,85.1434
2016-04-07,2016,4,7,Thursday,14,2016-14,94.17,94.26,93.04,93.51,3046500,90.12,-0.013087249191273798,89.77285714285713,85.2722
2016-04-08,2016,4,8,Friday,14,2016-14,94.09,94.66,93.42,93.79,2564000,90.39,0.002994542724614746,89.88714285714286,85.4486
2016-04-11,2016,4,11,Monday,15,2016-15,93.92,94.68,93.39,93.47,3858200,90.08,-0.003411839487313384,89.97714285714287,85.6452
2016-04-12,2016,4,12,Tuesday,15,2016-15,93.76,93.99,93.14,93.86,2673700,90.46,0.004172285300164225,90.13428571428572,85.7418
2016-04-13,2016,4,13,Wednesday,15,2016-15,94.5,95.75,94.39,95.75,3698600,92.28,0.020136543871980495,90.39642857142857,85.8824
2016-04-14,2016,4,14,Thursday,15,2016-15,95.72,96.77,95.41,96.17,3292200,92.69,0.004386358346998964,90.70285714285716,86.08319999999999
2016-04-15,2016,4,15,Friday,15,2016-15,96.25,97.31,96.14,96.68,4127600,93.18,0.005302954847960839,91.09,86.2834
2016-04-18,2016,4,18,Monday,16,2016-16,96.64,97.79,96.6,97.67,3079700,94.13,0.010240128231277401,91.4392857142857,86.5054
2016-04-19,2016,4,19,Tuesday,16,2016-16,98.0,98.16,96.35,97.24,3635900,93.72,-0.004402741288191514,91.68857142857144,86.7878
2016-04-20,2016,4,20,Wednesday,16,2016-16,97.66,98.4,97.05,97.9,3627300,94.35,0.00678754581080554,91.93571428571428,87.1234
2016-04-21,2016,4,21,Thursday,16,2016-16,97.95,98.09,97.35,97.54,2913600,94.01,-0.003677109739186002,92.0642857142857,87.4268
2016-04-22,2016,4,22,Friday,16,2016-16,96.39,98.49,96.39,97.45,7176300,93.92,-0.0009230151177913593,92.24285714285715,87.7026
2016-04-25,2016,4,25,Monday,17,2016-17,96.79,97.32,96.54,96.98,3276100,93.47,-0.00482291029830384,92.43714285714286,87.9924
2016-04-26,2016,4,26,Tuesday,17,2016-17,97.16,97.61,96.73,97.27,2929200,93.75,0.002990327758174205,92.61071428571428,88.23440000000001
2016-04-27,2016,4,27,Wednesday,17,2016-17,97.24,98.61,96.55,98.38,5211900,94.82,0.011411629656727484,92.94642857142857,88.473
2016-04-28,2016,4,28,Thursday,17,2016-17,97.94,100.0,96.73,97.18,6261400,93.66,-0.012197525122337738,93.17999999999999,88.66859999999998
2016-04-29,2016,4,29,Friday,17,2016-17,96.83,97.66,96.08,96.99,5338500,93.48,-0.0019553444425093325,93.42285714285715,88.88300000000001
2016-05-02,2016,5,2,Monday,18,2016-18,97.15,97.94,96.49,97.77,3813100,94.23,0.00804205387258694,93.69214285714285,89.098
2016-05-03,2016,5,3,Tuesday,18,2016-18,97.01,97.54,95.92,96.45,3362100,92.96,-0.013500854126746287,93.74071428571428,89.26780000000001
2016-05-04,2016,5,4,Wednesday,18,2016-18,95.72,96.39,95.23,96.25,3187500,92.76,-0.002073887452291423,93.74571428571429,89.4646
2016-05-05,2016,5,5,Thursday,18,2016-18,96.34,96.83,95.96,96.19,2848600,92.71,-0.0006231795828044451,93.71214285714284,89.65639999999999
2016-05-06,2016,5,6,Friday,18,2016-18,95.8,96.76,95.65,96.68,2042700,93.18,0.005093886225512989,93.64428571428572,89.83840000000001
2016-05-09,2016,5,9,Monday,19,2016-19,96.81,97.25,96.5,96.72,1972600,93.22,0.0004136598473110098,93.60857142857142,90.0182
2016-05-10,2016,5,10,Tuesday,19,2016-19,96.78,97.7,96.69,97.64,1903500,94.1,0.009512288646613909,93.59071428571428,90.2282
2016-05-11,2016,5,11,Wednesday,19,2016-19,97.64,97.84,96.36,96.41,2540600,92.92,-0.012597324870364579,93.51285714285714,90.35340000000001
2016-05-12,2016,5,12,Thursday,19,2016-19,96.74,96.82,95.24,95.85,4216800,92.38,-0.0058086049002415985,93.40285714285714,90.4718
2016-05-13,2016,5,13,Friday,19,2016-19,95.59,96.28,95.14,95.36,3371600,91.91,-0.005112120941327958,93.29142857142857,90.58380000000001
2016-05-16,2016,5,16,Monday,20,2016-20,95.6,96.52,95.45,96.15,2273600,92.67,0.008284446498759701,93.21428571428571,90.705
2016-05-17,2016,5,17,Tuesday,20,2016-20,95.98,96.29,95.26,95.6,3463300,92.14,-0.005720244650412876,93.02285714285713,90.8492
